date,nCoffee
01/02/2020,1
02/02/2020,1
03/02/2020,2
04/02/2020,2
05/02/2020,2
06/02/2020,2
07/02/2020,2
08/02/2020,1
09/02/2020,1
10/02/2020,2
11/02/2020,2
12/02/2020,3
13/02/2020,3
14/02/2020,1
15/02/2020,2
16/02/2020,1
17/02/2020,2
18/02/2020,2
19/02/2020,2
20/02/2020,2
21/02/2020,2
22/02/2020,1
23/02/2020,3
24/02/2020,1
25/02/2020,3
26/02/2020,2
27/02/2020,2
28/02/2020,2
29/02/2020,1
01/03/2020,2
02/03/2020,2
03/03/2020,2
04/03/2020,2
05/03/2020,1
06/03/2020,2
07/03/2020,4
08/03/2020,1
09/03/2020,2
10/03/2020,2
11/03/2020,2
12/03/2020,1
13/03/2020,2
14/03/2020,0
15/03/2020,1
16/03/2020,1
17/03/2020,1
18/03/2020,0
19/03/2020,0
20/03/2020,1
21/03/2020,1
22/03/2020,1
23/03/2020,1
24/03/2020,1
25/03/2020,1
26/03/2020,1
27/03/2020,1
28/03/2020,2
29/03/2020,0
30/03/2020,2
31/03/2020,2
01/04/2020,1
02/04/2020,1
03/04/2020,1
04/04/2020,1
05/04/2020,1
06/04/2020,2
07/04/2020,1
08/04/2020,2
09/04/2020,1
10/04/2020,2
11/04/2020,1
12/04/2020,2
13/04/2020,2
14/04/2020,1
15/04/2020,1
16/04/2020,1
17/04/2020,2
18/04/2020,2
19/04/2020,2
20/04/2020,1
21/04/2020,2
22/04/2020,2
23/04/2020,2
